GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Wumpusz,Wumpusz,Main,5,0,0,0,3,0,2,0,2,0
Wumpusz,Wumpusz.Hozzaadas,aranyHozzaad,94,0,16,0,19,0,11,0,3,0
Wumpusz,Wumpusz.Hozzaadas,FalHozzaad,84,0,16,0,16,0,10,0,2,0
Wumpusz,Wumpusz.Hozzaadas,wumpuszHozzaad,106,0,20,0,20,0,13,0,3,0
Wumpusz,Wumpusz.Hozzaadas,VeremHozzaad,84,0,16,0,16,0,10,0,2,0
Wumpusz,Wumpusz.Hozzaadas,hosHozzaad,98,0,16,0,21,0,13,0,5,0
Wumpusz,Wumpusz.Szerkesztes,Palya,74,0,16,0,13,0,11,0,3,0
Wumpusz,Wumpusz.Szerkesztes,Palyaszerkeszto,90,0,19,0,41,0,14,0,2,0
Wumpusz,Wumpusz.Alapmenu,AlapMenu,65,0,8,0,28,0,12,0,6,0
Wumpusz,Wumpusz.Jatek,Jatek,428,0,72,0,113,0,46,0,7,0
